model_name,size_of_vocab,number_of_correct,number_of_non_random_guess,accuracy
word2vec-google-news-300,3000000,61,79,0.7721518987341772
glove-twitter-200,1193514,43,78,0.5512820512820513
glove-wiki-200,400000,61,80,0.7625
glove-twitter-50,1193514,33,78,0.4230769230769231
glove-twitter-100,1193514,37,78,0.47435897435897434
own_corpus_5_100,14838,13,49,0.2653061224489796
own_corpus_10_100,14838,16,49,0.32653061224489793
own_corpus_10_300,14838,10,49,0.20408163265306123
own_corpus_10_200,14838,10,49,0.20408163265306123
